No,Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
60,60_2_hambaALLAH,60_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758300,,,,,,,,
61,61_2_hambaALLAH,61_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758311,,,,,,,,
62,62_2_hambaALLAH,62_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758312,,,,,,,,
63,63_2_hambaALLAH,63_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758313,,,,,,,,
64,64_2_hambaALLAH,64_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758314,,,,,,,,
65,65_2_hambaALLAH,65_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758315,,,,,,,,
66,66_2_hambaALLAH,66_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758316,,,,,,,,
67,67_2_hambaALLAH,67_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758317,,,,,,,,
68,68_2_hambaALLAH,68_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758318,,,,,,,,
69,69_2_hambaALLAH,69_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758319,,,,,,,,
70,70_2_hambaALLAH,70_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758310,,,,,,,,
71,71_2_hambaALLAH,71_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758321,,,,,,,,
72,72_2_hambaALLAH,72_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758322,,,,,,,,
73,73_2_hambaALLAH,73_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758323,,,,,,,,
74,74_2_hambaALLAH,74_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758324,,,,,,,,
75,75_2_hambaALLAH,75_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758325,,,,,,,,
76,76_2_hambaALLAH,76_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758326,,,,,,,,
77,77_2_hambaALLAH,77_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758327,,,,,,,,
78,78_2_hambaALLAH,78_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758328,,,,,,,,
79,79_2_hambaALLAH,79_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758329,,,,,,,,
80,80_2_hambaALLAH,80_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758320,,,,,,,,
81,81_2_hambaALLAH,81_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758331,,,,,,,,
82,82_2_hambaALLAH,82_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758332,,,,,,,,
83,83_2_hambaALLAH,83_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758333,,,,,,,,
84,84_2_hambaALLAH,84_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758334,,,,,,,,
85,85_2_hambaALLAH,85_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758335,,,,,,,,
86,86_2_hambaALLAH,86_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758336,,,,,,,,
87,87_2_hambaALLAH,87_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758337,,,,,,,,
88,88_2_hambaALLAH,88_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758338,,,,,,,,
89,89_2_hambaALLAH,89_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758339,,,,,,,,
90,90_2_hambaALLAH,90_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758330,,,,,,,,
91,91_2_hambaALLAH,91_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758341,,,,,,,,
92,92_2_hambaALLAH,92_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758342,,,,,,,,
93,93_2_hambaALLAH,93_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758343,,,,,,,,
94,94_2_hambaALLAH,94_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758344,,,,,,,,
95,95_2_hambaALLAH,95_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758345,,,,,,,,
96,96_2_hambaALLAH,96_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758346,,,,,,,,
97,97_2_hambaALLAH,97_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758347,,,,,,,,
98,98_2_hambaALLAH,98_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758348,,,,,,,,
99,99_2_hambaALLAH,99_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758349,,,,,,,,
100,100_2_hambaALLAH,100_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758340,,,,,,,,
101,101_2_hambaALLAH,101_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758451,,,,,,,,
102,102_2_hambaALLAH,102_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758452,,,,,,,,
103,103_2_hambaALLAH,103_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758453,,,,,,,,
104,104_2_hambaALLAH,104_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758454,,,,,,,,
105,105_2_hambaALLAH,105_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758455,,,,,,,,
106,106_2_hambaALLAH,106_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758456,,,,,,,,
107,107_2_hambaALLAH,107_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758457,,,,,,,,
108,108_2_hambaALLAH,108_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758458,,,,,,,,
109,109_2_hambaALLAH,109_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758459,,,,,,,,
110,110_2_hambaALLAH,110_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758450,,,,,,,,
111,111_2_hambaALLAH,111_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758461,,,,,,,,
112,112_2_hambaALLAH,112_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758462,,,,,,,,
113,113_2_hambaALLAH,113_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758463,,,,,,,,
114,114_2_hambaALLAH,114_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758464,,,,,,,,
115,115_2_hambaALLAH,115_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758465,,,,,,,,
116,116_2_hambaALLAH,116_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758466,,,,,,,,
117,117_2_hambaALLAH,117_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758467,,,,,,,,
118,118_2_hambaALLAH,118_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758468,,,,,,,,
119,119_2_hambaALLAH,119_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758469,,,,,,,,
120,120_2_hambaALLAH,120_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758460,,,,,,,,
121,121_2_hambaALLAH,121_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758471,,,,,,,,
122,122_2_hambaALLAH,122_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758472,,,,,,,,
123,123_2_hambaALLAH,123_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758473,,,,,,,,
124,124_2_hambaALLAH,124_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758474,,,,,,,,
125,125_2_hambaALLAH,125_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758475,,,,,,,,
126,126_2_hambaALLAH,126_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758476,,,,,,,,
127,127_2_hambaALLAH,127_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758477,,,,,,,,
128,128_2_hambaALLAH,128_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758478,,,,,,,,
129,129_2_hambaALLAH,129_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758479,,,,,,,,
130,130_2_hambaALLAH,130_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758470,,,,,,,,
131,131_2_hambaALLAH,131_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758481,,,,,,,,
132,132_2_hambaALLAH,132_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758482,,,,,,,,
133,133_2_hambaALLAH,133_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758483,,,,,,,,
134,134_2_hambaALLAH,134_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758484,,,,,,,,
135,135_2_hambaALLAH,135_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758485,,,,,,,,
136,136_2_hambaALLAH,136_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758486,,,,,,,,
137,137_2_hambaALLAH,137_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758487,,,,,,,,
138,138_2_hambaALLAH,138_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758488,,,,,,,,
139,139_2_hambaALLAH,139_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758489,,,,,,,,
140,140_2_hambaALLAH,140_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758480,,,,,,,,
141,141_2_hambaALLAH,141_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758491,,,,,,,,
142,142_2_hambaALLAH,142_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758492,,,,,,,,
143,143_2_hambaALLAH,143_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758493,,,,,,,,
144,144_2_hambaALLAH,144_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758494,,,,,,,,
145,145_2_hambaALLAH,145_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758495,,,,,,,,
146,146_2_hambaALLAH,146_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758496,,,,,,,,
147,147_2_hambaALLAH,147_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758497,,,,,,,,
148,148_2_hambaALLAH,148_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758498,,,,,,,,
149,149_2_hambaALLAH,149_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758499,,,,,,,,
150,150_2_hambaALLAH,150_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758490,,,,,,,,
151,151_2_hambaALLAH,151_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758401,,,,,,,,
152,152_2_hambaALLAH,152_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758402,,,,,,,,
153,153_2_hambaALLAH,153_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758403,,,,,,,,
154,154_2_hambaALLAH,154_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758404,,,,,,,,
155,155_2_hambaALLAH,155_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758405,,,,,,,,
156,156_2_hambaALLAH,156_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758406,,,,,,,,
157,157_2_hambaALLAH,157_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758407,,,,,,,,
158,158_2_hambaALLAH,158_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758408,,,,,,,,
159,159_2_hambaALLAH,159_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758409,,,,,,,,
160,160_2_hambaALLAH,160_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758400,,,,,,,,
161,161_2_hambaALLAH,161_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758411,,,,,,,,
162,162_2_hambaALLAH,162_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758412,,,,,,,,
163,163_2_hambaALLAH,163_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758413,,,,,,,,
164,164_2_hambaALLAH,164_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758414,,,,,,,,
165,165_2_hambaALLAH,165_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758415,,,,,,,,
166,166_2_hambaALLAH,166_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758416,,,,,,,,
167,167_2_hambaALLAH,167_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758417,,,,,,,,
168,168_2_hambaALLAH,168_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758418,,,,,,,,
169,169_2_hambaALLAH,169_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758419,,,,,,,,
170,170_2_hambaALLAH,170_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758410,,,,,,,,
171,171_2_hambaALLAH,171_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758421,,,,,,,,
172,172_2_hambaALLAH,172_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758422,,,,,,,,
173,173_2_hambaALLAH,173_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758423,,,,,,,,
174,174_2_hambaALLAH,174_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758424,,,,,,,,
175,175_2_hambaALLAH,175_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758425,,,,,,,,
176,176_2_hambaALLAH,176_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758426,,,,,,,,
177,177_2_hambaALLAH,177_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758427,,,,,,,,
178,178_2_hambaALLAH,178_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758428,,,,,,,,
179,179_2_hambaALLAH,179_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758429,,,,,,,,
180,180_2_hambaALLAH,180_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758420,,,,,,,,
181,181_2_hambaALLAH,181_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758431,,,,,,,,
182,182_2_hambaALLAH,182_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758432,,,,,,,,
183,183_2_hambaALLAH,183_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758433,,,,,,,,
184,184_2_hambaALLAH,184_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758434,,,,,,,,
185,185_2_hambaALLAH,185_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758435,,,,,,,,
186,186_2_hambaALLAH,186_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758436,,,,,,,,
187,187_2_hambaALLAH,187_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758437,,,,,,,,
188,188_2_hambaALLAH,188_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758438,,,,,,,,
189,189_2_hambaALLAH,189_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758439,,,,,,,,
190,190_2_hambaALLAH,190_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758430,,,,,,,,
191,191_2_hambaALLAH,191_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758441,,,,,,,,
192,192_2_hambaALLAH,192_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758442,,,,,,,,
193,193_2_hambaALLAH,193_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758443,,,,,,,,
194,194_2_hambaALLAH,194_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758444,,,,,,,,
195,195_2_hambaALLAH,195_hambaALLAH,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758445,,,,,,,,
196,196_2_hambaALLAH,196_hambaALLAH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081230758446,,,,,,,,
